Property,Podspec
codeRepository,spec.source
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,spec.authors
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,spec.license
producer,
provider,
publisher,
sponsor,
version,spec.version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,spec.summary
identifier,
name,spec.name
sameAs,
url,spec.homepage
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
